(PDH-CSV 4.0) (India Standard Time)(-330),Available MBytes,Processor Time,KBytes Total,HighCPU,HighRAM,NoNetwork
06:35.6,367,10.12864645,1.217272321,0,1,0
06:36.6,355,18.08807059,1.737304835,0,1,0
06:37.6,356,15.15763593,1.218280121,0,1,0
06:38.6,328,17.51517003,1.274189378,0,1,0
06:39.6,368,11.12277326,0.845176382,0,1,0
06:40.6,365,7.486138273,1.277619619,0,1,0
06:41.6,364,2.90065371,1.687449779,0,1,0
06:42.6,345,21.85178292,1.650326651,0,1,0
06:43.6,367,5.144010124,5.163553941,0,1,0
06:44.6,334,25.75845622,2.876704208,0,1,0
06:45.6,330,10.91014145,5.799745349,0,1,0
06:46.6,326,3.092894303,3.504632947,0,1,0
06:47.6,321,6.705435563,1.472273207,0,1,0
06:48.6,336,9.229266884,1.279988479,0,1,0
06:49.6,317,8.83970544,1.477027752,0,1,0
06:50.6,306,7.300553796,4.723845743,0,1,0
06:51.6,305,4.735822346,11.75651211,0,1,0
06:52.6,303,8.723679425,16.5024281,0,1,0
06:53.6,313,9.887346281,14.71923066,0,1,0
06:54.6,309,10.54461585,21.34566916,0,1,0
06:55.6,305,2.996093997,1.481924528,0,1,0
06:56.6,304,4.075245086,1.655045555,0,1,0
06:57.6,302,4.274552424,1.250684764,0,1,0
06:58.6,307,5.723104013,0.828258207,0,1,0
06:59.6,306,5.144020133,0.71751877,0,1,0
07:00.6,303,6.408759124,8.596594133,0,1,0
07:01.6,289,10.63336127,4.072942365,0,1,0
07:02.6,284,8.54149116,5.823245229,0,1,0
07:03.6,304,6.534432156,5.951854904,0,1,0
07:04.6,284,16.46426949,2.384347541,0,1,0
07:05.6,272,41.29163355,1.559802905,0,1,0
07:06.6,264,7.670981154,2.023297097,0,1,0
07:07.6,263,20.04768367,1.702852876,0,1,0
07:08.6,247,20.2880213,4.696828245,0,1,0
07:09.6,270,10.24649519,2.18280424,0,1,0
07:10.6,262,11.44255096,1.544505043,0,1,0
07:11.6,263,14.95268564,1.215863855,0,1,0
07:12.6,243,32.65690499,2.064781878,0,1,0
07:13.6,240,6.269897244,6.980875946,0,1,0
07:14.6,258,9.047553703,2.684505141,0,1,0
07:15.6,251,7.733604799,2.038881969,0,1,0
